Binomial,Phenology
Abarema adenophora,EV
Abarema jupunba,EV
Abatia parviflora,D
Abies alba,EV
Abies amabilis,EV
Abies balsamea,EV
Abies borisii-regis,EV
Abies bornmuelleriana,EV
Abies bracteata,EV
Abies cephalonica,EV
Abies chensiensis,EV
Abies cilicica,EV
Abies concolor,EV
Abies delavayi,EV
Abies densa,EV
Abies durangensis,EV
Abies fabri,EV
Abies fargesii,EV
Abies firma,EV
Abies forrestii,EV
Abies fraseri,EV
Abies grandis,EV
Abies guatemalensis,EV
Abies holophylla,EV
Abies homolepis,EV
Abies kawakamii,EV
Abies koreana,EV
Abies lasiocarpa,EV
Abies magnifica,EV
Abies mariesii,EV
Abies marocana,EV
Abies nebrodensis,EV
Abies nephrolepis,EV
Abies nordmanniana,EV
Abies numidica,EV
Abies pardei,EV
Abies pindrow,EV
Abies pinsapo,EV
Abies procera,EV
Abies recurvata,EV
Abies religiosa,EV
Abies sachalinensis,EV
Abies shastensis,EV
Abies sibirica,EV
Abies spectabilis,EV
Abies squamata,EV
Abies veitchii,EV
Abies vejarii,EV
Abrophyllum ornans,EV
Abrus precatorius,D_EV
Abuta grandifolia,EV
Abutilon angulatum,EV
Abutilon cryptopetalum,EV
Abutilon fraseri,EV
Abutilon otocarpum,EV
Acacia acanthophylla,EV
Acacia acradenia,EV
Acacia adenocalyx,EV
Acacia adsurgens,EV
Acacia ammobia,EV
Acacia aneura,EV
Acacia aroma,D
Acacia ataxacantha,EV
Acacia auriculiformis,EV
Acacia bakeri,EV
Acacia berlandieri,EV
Acacia brachybotrya,EV
Acacia brachystachya,EV
Acacia brevispica,EV
Acacia burkittii,EV
Acacia cambagei,EV
Acacia cana,EV
Acacia caven,D
Acacia celastrifolia,EV
Acacia colletioides,EV
Acacia coriacea,EV
Acacia cornigera,EV
Acacia cultriformis,EV
Acacia cuthbertsonii,EV
Acacia dealbata,EV
Acacia deanei,EV
Acacia decora,EV
Acacia desmondii,EV
Acacia dimidiata,EV
Acacia doratoxylon,EV
Acacia elata,EV
Acacia elongata,EV
Acacia erioloba,EV
Acacia estrophiolata,EV
Acacia excelsa,EV
Acacia farnesiana,EV
Acacia floribunda,EV
Acacia genistifolia,EV
Acacia georginae,EV
Acacia gerrardii,EV
Acacia glomerosa,EV
Acacia hakeoides,EV
Acacia havilandiorum,EV
Acacia hayesii,EV
Acacia holosericea,EV
Acacia homalophylla,EV
Acacia huegelii,EV
Acacia irrorata,EV
Acacia karroo,EV
Acacia kempeana,EV
Acacia latzii,EV
Acacia ligulata,EV
Acacia linearifolia,EV
Acacia linearis,EV
Acacia lineata,EV
Acacia longifolia,EV
Acacia longissima,EV
Acacia loretensis,EV
Acacia luederitzii,EV
Acacia maitlandii,EV
Acacia melanoceras,EV
Acacia melanoxylon,EV
Acacia mellifera,EV
Acacia mimula,EV
Acacia minutifolia,EV
Acacia monticola,EV
Acacia mucronata,EV
Acacia muelleriana,EV
Acacia murrayana,EV
Acacia myrtifolia,EV
Acacia nigrescens,EV
Acacia nilotica,EV
Acacia orites,EV
Acacia oswaldii,EV
Acacia oxycedrus,EV
Acacia paradoxa,EV
Acacia penninervis,EV
Acacia platycarpa,EV
Acacia polyacantha,EV
Acacia praecox,D
Acacia prainii,EV
Acacia pruinocarpa,EV
Acacia pulchella,EV
Acacia pycnantha,EV
Acacia ramulosa,EV
Acacia rigidula,EV
Acacia riparia,EV
Acacia robusta,EV
Acacia salicina,EV
Acacia senegal,D
Acacia sessiliceps,EV
Acacia sieberiana,EV
Acacia sophorae,EV
Acacia spondylophylla,EV
Acacia stenophylla,EV
Acacia stricta,EV
Acacia suaveolens,EV
Acacia tenuissima,EV
Acacia terminalis,EV
Acacia tetragonophylla,EV
Acacia tindaleae,EV
Acacia tortilis,EV
Acacia trineura,EV
Acacia triptera,EV
Acacia ulicifolia,EV
Acacia uncinata,EV
Acacia verniciflua,EV
Acacia verticillata,EV
Acacia victoriae,EV
Acacia wilhelmiana,EV
Acaena novae-zelandiae,EV
Acalypha bipartita,EV
Acalypha caturus,EV
Acalypha cuneata,EV
Acalypha diversifolia,EV
Acalypha fruticosa,EV
Acalypha macrostachya,EV
Acalypha skutchii,EV
Acantholippia seriphioides,EV
Acantholippia trifida,EV
Acanthopanax senticosus,D
Acanthosyris annonagustata,EV
Acanthosyris falcata,D
Acer acuminatum,D
Acer amplum,D
Acer argutum,D
Acer barbatum,D
Acer barbinerve,D
Acer buergerianum,D
Acer campestre,D
Acer capillipes,D
Acer cappadocicum,D
Acer carpinifolium,D
Acer ceriferum,D
Acer circinatum,D
Acer cissifolium,D
Acer crataegifolium,D
Acer diabolicum,D
Acer distylum,D
Acer garrettii,EV
Acer ginnala,D
Acer glabrum,D
Acer grandidentatum,D
Acer griseum,D
Acer grosseri,D
Acer japonicum,D
Acer kungshanense,D
Acer laevigatum,EV
Acer leucoderme,D
Acer lobelii,D
Acer macrophyllum,D
Acer mandshuricum,D
Acer micranthum,D
Acer miyabei,D
Acer mono,D
Acer monspessulanum,D
Acer morifolium,D
Acer negundo,D
Acer nigrum,D
Acer nikoense,D
Acer opalus,D
Acer palmatum,D
Acer pensylvanicum,D
Acer platanoides,D
Acer pseudoplatanus,D
Acer pseudosieboldianum,D
Acer rubrum,D
Acer rufinerve,D
Acer saccharinum,D
Acer saccharum,D
Acer senecaensis,D
Acer shirasawanum,D
Acer sieboldianum,D
Acer sinopurpurascens,D
Acer spicatum,D
Acer syriacum,D
Acer tataricum,D
Acer tegmentosum,D
Acer trautvetteri,D
Acer triflorum,D
Acer tschonoskii,D
Acer ukurunduense,D
Aceratium concinnum,EV
Aceratium megalospermum,EV
Achatocarpus gracilis,D
Achatocarpus praecox,D
Acidoton nicaraguensis,EV
Acmena graveolens,EV
Acmena hemilampra,EV
Acmena ingens,EV
Acmena smithii,EV
Acradenia euodiiformis,EV
Acronychia acidula,EV
Acronychia baeuerlenii,EV
Acronychia imperforata,EV
Acronychia laevis,EV
Acronychia oblongifolia,EV
Acronychia octandra,EV
Acronychia pedunculata,EV
Acronychia pubescens,EV
Acronychia suberosa,EV
Acronychia wilcoxiana,EV
Acrostichum aureum,EV
Acrotriche aggregata,EV
Acrotriche rigida,EV
Actephila lindleyi,EV
Actinidia deliciosa,D
Actinodaphne ambigua,EV
Actinodaphne lancifolia,EV
Actinodaphne longifolia,EV
Actinodaphne omeiensis,EV
Actinotus helianthi,EV
Adansonia digitata,D
Adelia triloba,EV
Adenanthos cygnorum,EV
Adenaria floribunda,EV
Adenocalymma subincanum,EV
Adenocarpus foliolosus,EV
Adenostephanus guyanensis,EV
Adenostoma fasciculatum,EV
Adenostoma sparsifolium,EV
Adesmia patagonica,EV
Adesmia remyana,EV
Adina cordifolia,D
Adinandra dumosa,EV
Aegiceras corniculatum,EV
Aegiphila cordifolia,EV
Aegiphila costaricensis,D
Aegiphila falcata,D
Aegiphila integrifolia,D
Aegiphila lhotzkiana,EV
Aegiphila panamensis,EV
Aegiphila trifida,D
Aegle marmelos,D
Aesculus californica,D
Aesculus hippocastanum,D
Aesculus octandra,D
Aextoxicon punctatum,EV
Afrostyrax lepidophyllus,EV
Afzelia quanzensis,D
Agastachys odorata,EV
Agauria salicifolia,EV
Agave americana,EV
Aglaia argentea,EV
Aglaia borneensis,EV
Aglaia perviridis,EV
Agonandra brasiliensis,EV
Agonandra silvatica,EV
Agonis flexuosa,EV
Aidia densiflora,EV
Aidia micrantha,EV
Ailanthus altissima,D
Ailanthus fordii,EV
Ailanthus glandulosa,D
Ailanthus triphysa,EV
Aiouea grandifolia,EV
Aiouea saligna,EV
Ajania tibetica,EV
Akania bidwillii,EV
Akebia quinata,D
Akebia trifoliata,D
Alangium chinense,D
Alangium javanicum,EV
Alangium villosum,EV
Albizia adianthifolia,EV
Albizia anthelmintica,D
Albizia antunesiana,D
Albizia coriaria,D
Albizia guachapele,D
Albizia gummifera,EV
Albizia julibrissin,D
Albizia lebbeck,D_EV
Albizia malacophylla,D
Albizia niopoides,D
Albizia procera,D
Albizia purpusii,D
Albizia zimmermannii,EV
Alchemilla fissa,EV
Alchemilla pinnata,EV
Alchornea castaneifolia,EV
Alchornea cordifolia,EV
Alchornea costaricensis,EV
Alchornea ilicifolia,EV
Alchornea latifolia,EV
Alchornea laxiflora,EV
Alchornea triplinervia,D
Alchorneopsis floribunda,EV
Aldina heterophylla,EV
Alectryon coriaceus,EV
Alectryon excelsus,EV
Alectryon oleifolius,EV
Alectryon subcinereum,EV
Alectryon subdentatus,EV
Alepis flavida,EV
Aleurites moluccana,EV
Alexa imperatricis,EV
Alibertia edulis,EV
Alibertia verrucosa,EV
Allanblackia stuhlmannii,EV
Allenanthus hondurensis,D
Allocasuarina distyla,EV
Allocasuarina littoralis,EV
Allocasuarina pusilla,EV
Allocasuarina torulosa,EV
Allophylus amazonicus,EV
Allophylus camptostachys,EV
Allophylus cobbe,EV
Allophylus cominia,EV
Allophylus crassinervis,EV
Allophylus divaricatus,EV
Allophylus edulis,EV
Allophylus jamaicensis,EV
Allophylus melliodorus,EV
Allophylus pervillei,EV
Allophylus pilosus,EV
Allophylus psilospermus,EV
Allophylus varians,EV
Allophylus volkensii,EV
Alnus crispa,D
Alnus glutinosa,D
Alnus hirsuta,D
Alnus incana,D
Alnus japonica,D
Alnus mandshurica,D
Alnus matsumurae,D
Alnus maximowiczii,D
Alnus oregana,D
Alnus rhombifolia,D
Alnus rubra,D
Alnus rugosa,D
Alnus serrulata,D
Alnus sinuata,D
Aloysia gratissima,D
Alphitonia excelsa,EV
Alphitonia franguloides,EV
Alphitonia incana,EV
Alphitonia petriei,EV
Alphonsea monogyna,EV
Alseis blackiana,EV
Alseis microcarpa,D
Alstonia boonei,EV
Alstonia scholaris,EV
Alstonia vitiensis,EV
Alyxia oliviformis,EV
Alyxia ruscifolia,EV
Amaioua corymbosa,EV
Amaioua guianensis,EV
Ambelania acida,EV
Ambrosia dumosa,EV
Ambrosia eriocentra,EV
